投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
及川　雅貴,阪神,岡本　和真,巨人,0,6,4,0,0,0,0,0,0,2,0,0,2,0.333,0.333,0
岡留　英貴,阪神,岡本　和真,巨人,0.25,4,4,1,1,0,0,0,1,0,0,0,1,0.5,0.25,0.25
石井　大智,阪神,岡本　和真,巨人,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0
髙橋　遥人,阪神,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
岩崎　優,阪神,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
伊藤　将司,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
村上　頌樹,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
青柳　晃洋,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
桐敷　拓馬,阪神,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0
門別　啓人,阪神,岡本　和真,巨人,1,2,1,1,0,0,0,1,4,1,0,0,0,5,1,4
富田　蓮,阪神,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
加治屋　蓮,阪神,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0
漆原　大晟,阪神,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
浜地　真澄,阪神,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
森下　暢仁,広島,岡本　和真,巨人,0.353,19,17,6,2,2,0,2,14,2,0,0,1,1.245,0.421,0.824
アドゥワ　誠,広島,岡本　和真,巨人,0.357,15,14,5,5,0,0,0,5,1,0,0,4,0.757,0.4,0.357
大瀬良　大地,広島,岡本　和真,巨人,0.357,15,14,5,2,2,0,1,10,1,0,0,1,1.114,0.4,0.714
床田　寛樹,広島,岡本　和真,巨人,0.231,13,13,3,3,0,0,0,3,0,0,0,1,0.462,0.231,0.231
九里　亜蓮,広島,岡本　和真,巨人,0.286,9,7,2,1,0,0,1,5,2,0,0,1,1.158,0.444,0.714
島内　颯太郎,広島,岡本　和真,巨人,0.4,6,5,2,2,0,0,0,2,0,0,0,0,0.733,0.333,0.4
中﨑　翔太,広島,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,0,1,0.4,0.6
黒原　拓未,広島,岡本　和真,巨人,0.25,4,4,1,0,1,0,0,2,0,0,0,1,0.75,0.25,0.5
拓也 （矢崎　拓也）,広島,岡本　和真,巨人,0.5,3,2,1,1,0,0,0,1,1,0,0,0,1.167,0.667,0.5
玉村　昇悟,広島,岡本　和真,巨人,0.667,3,3,2,1,1,0,0,3,0,0,0,0,1.667,0.667,1
Ｔ．ハッチ,広島,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｔ．ハーン,広島,岡本　和真,巨人,0.333,3,3,1,0,0,0,1,4,0,0,0,0,1.666,0.333,1.333
森浦　大輔,広島,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
栗林　良吏,広島,岡本　和真,巨人,0.667,3,3,2,2,0,0,0,2,0,0,0,0,1.334,0.667,0.667
河野　佳,広島,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
塹江　敦哉,広島,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
長谷部　銀次,広島,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
益田　武尚,広島,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
松本　竜也,広島,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
小笠原　慎之介,中日,岡本　和真,巨人,0.176,19,17,3,3,0,0,0,3,1,0,0,1,0.387,0.211,0.176
涌井　秀章,中日,岡本　和真,巨人,0.125,10,8,1,1,0,0,0,1,2,0,0,2,0.425,0.3,0.125
梅津　晃大,中日,岡本　和真,巨人,0.375,8,8,3,2,1,0,0,4,0,0,0,1,0.875,0.375,0.5
大野　雄大,中日,岡本　和真,巨人,0.143,7,7,1,0,1,0,0,2,0,0,0,1,0.429,0.143,0.286
髙橋　宏斗,中日,岡本　和真,巨人,0,6,5,0,0,0,0,0,0,1,0,0,3,0.167,0.167,0
柳　裕也,中日,岡本　和真,巨人,0.2,6,5,1,1,0,0,0,1,1,0,0,3,0.533,0.333,0.2
藤嶋　健人,中日,岡本　和真,巨人,0.5,6,4,2,1,0,0,1,5,2,0,0,0,1.917,0.667,1.25
Ｈ．メヒア,中日,岡本　和真,巨人,0.2,6,5,1,0,1,0,0,2,1,0,0,0,0.733,0.333,0.4
勝野　昌慶,中日,岡本　和真,巨人,0.4,5,5,2,1,1,0,0,3,0,0,0,2,1,0.4,0.6
Ｍ．フェリス,中日,岡本　和真,巨人,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
