投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
大嶺　祐太,ロッテ,岡本　和真,巨人,1,1,1,1,0,0,0,1,4,0,0,0,0,5,1,4
吉田　凌,ロッテ,岡本　和真,巨人,1,1,1,1,0,1,0,0,2,0,0,0,0,3,1,2
廣畑　敦也,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Ｊ．フローレス,ロッテ,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
西村　天裕,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
岩下　大輝,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ブランドン,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
澤田　圭佑,ロッテ,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
澤村　拓一,ロッテ,岡本　和真,巨人,1,1,1,1,0,0,0,1,4,0,0,0,0,5,1,4
岸　孝之,楽天,岡本　和真,巨人,0.25,9,8,2,1,1,0,0,3,1,0,0,4,0.708,0.333,0.375
則本　昂大,楽天,岡本　和真,巨人,0.167,6,6,1,0,0,0,1,4,0,0,0,0,0.834,0.167,0.667
早川　隆久,楽天,岡本　和真,巨人,0.4,6,5,2,0,2,0,0,4,1,0,0,1,1.3,0.5,0.8
古川　侑利,楽天,岡本　和真,巨人,0.2,5,5,1,1,0,0,0,1,0,0,0,2,0.4,0.2,0.2
石橋　良太,楽天,岡本　和真,巨人,0.4,5,5,2,1,0,0,1,5,0,0,0,2,1.4,0.4,1
藤井　聖,楽天,岡本　和真,巨人,1,4,1,1,0,1,0,0,2,3,0,0,0,3,1,2
内　星龍,楽天,岡本　和真,巨人,0.333,3,3,1,0,1,0,0,2,0,0,0,0,1,0.333,0.667
塩見　貴洋,楽天,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,2,0.666,0.333,0.333
辛島　航,楽天,岡本　和真,巨人,0.5,3,2,1,0,0,0,1,4,1,0,0,0,2.667,0.667,2
近藤　弘樹,楽天,岡本　和真,巨人,0,3,2,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0
Ｃ．ポンセ,楽天,岡本　和真,巨人,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
安樂　智大,楽天,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0
渡辺　翔太,楽天,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
酒居　知史,楽天,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,1,0.5,0.5,0
瀧中　瞭太,楽天,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
池田　隆英,楽天,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
宋　家豪,楽天,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0
Ａ．ブセニッツ,楽天,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
松井　裕樹,楽天,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
Ｆ．ハーマン,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
内間　拓馬,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
青山　浩二,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
西垣　雅矢,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
西口　直人,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｎ．ターリー,楽天,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
高梨　雄平,楽天,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
森原　康平,楽天,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
