投手,チーム,打者,チーム,打率,打席,打数,安打,単打,二塁打,三塁打,本塁打,塁打,四球,死球,犠飛,三振,OPS,出塁率,長打率
尾仲　祐哉,ヤクルト,岡本　和真,巨人,0.667,3,3,2,1,0,0,1,5,0,0,0,0,2.334,0.667,1.667
平井　諒,ヤクルト,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
阪口　皓亮,ヤクルト,岡本　和真,巨人,0,3,2,0,0,0,0,0,0,0,1,0,1,0.333,0.333,0
久保　拓眞,ヤクルト,岡本　和真,巨人,0.333,3,3,1,1,0,0,0,1,0,0,0,0,0.666,0.333,0.333
松本　健吾,ヤクルト,岡本　和真,巨人,0,2,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0
古野　正人,ヤクルト,岡本　和真,巨人,0.5,2,2,1,0,0,0,1,4,0,0,0,0,2.5,0.5,2
館山　昌平,ヤクルト,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,1,1,0.5,0.5
Ｐ．ギルメット,ヤクルト,岡本　和真,巨人,0.5,2,2,1,1,0,0,0,1,0,0,0,0,1,0.5,0.5
Ａ．スアレス,ヤクルト,岡本　和真,巨人,1,2,1,1,1,0,0,0,1,1,0,0,0,2,1,1
山本　哲哉,ヤクルト,岡本　和真,巨人,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
拓也 （矢崎　拓也）,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
田川　賢吾,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ｊ．エスパーダ,ヤクルト,岡本　和真,巨人,1,1,1,1,0,0,0,1,4,0,0,0,0,5,1,4
Ｍ．バウマン,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
宮川　哲,ヤクルト,岡本　和真,巨人,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1
近藤　弘樹,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
下川　隼佑,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
杉山　晃基,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
五十嵐　亮太,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
蔵本　治孝,ヤクルト,岡本　和真,巨人,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
松岡　健一,ヤクルト,岡本　和真,巨人,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
東　克樹,DeNA,岡本　和真,巨人,0.258,72,62,16,9,3,0,4,31,9,0,0,14,0.847,0.347,0.5
今永　昇太,DeNA,岡本　和真,巨人,0.265,57,49,13,3,7,0,3,29,8,0,0,14,0.96,0.368,0.592
大貫　晋一,DeNA,岡本　和真,巨人,0.318,50,44,14,9,2,0,3,25,5,1,0,9,0.968,0.4,0.568
濵口　遥大,DeNA,岡本　和真,巨人,0.282,40,39,11,8,2,0,1,16,1,0,0,9,0.71,0.3,0.41
石田　健大,DeNA,岡本　和真,巨人,0.333,36,33,11,5,3,0,3,23,2,0,0,9,1.058,0.361,0.697
平良　拳太郎,DeNA,岡本　和真,巨人,0.129,35,31,4,3,1,0,0,5,3,0,0,11,0.361,0.2,0.161
井納　翔一,DeNA,岡本　和真,巨人,0.344,33,32,11,4,4,0,3,24,0,1,0,11,1.114,0.364,0.75
山﨑　康晃,DeNA,岡本　和真,巨人,0.222,30,27,6,5,0,0,1,9,3,0,0,10,0.633,0.3,0.333
Ａ．ケイ,DeNA,岡本　和真,巨人,0.4,26,15,6,3,1,0,2,13,9,2,0,1,1.521,0.654,0.867
Ａ．ジャクソン,DeNA,岡本　和真,巨人,0.476,24,21,10,6,2,0,2,18,3,0,0,2,1.399,0.542,0.857
Ｆ．ロメロ,DeNA,岡本　和真,巨人,0.263,23,19,5,3,1,0,1,9,3,1,0,3,0.865,0.391,0.474
上茶谷　大河,DeNA,岡本　和真,巨人,0.316,23,19,6,4,1,0,1,10,3,1,0,5,0.961,0.435,0.526
三嶋　一輝,DeNA,岡本　和真,巨人,0.318,23,22,7,3,2,0,2,15,0,0,0,6,0.986,0.304,0.682
伊勢　大夢,DeNA,岡本　和真,巨人,0.421,23,19,8,5,2,0,1,13,3,1,0,3,1.206,0.522,0.684
