variant,model,mae,rmse,r2,poisson_deviance,exact_game_runs_accuracy,within_1_run_accuracy,within_2_runs_accuracy,zero_vs_nonzero_accuracy_after_rounding,true_mean_runs,pred_mean_runs,pred_rounded_mean_runs,best_epoch,best_valid_mse,n_categorical_features,n_numeric_features,n_total_features
all_game_features,fm_regression,2.2195401616168744,2.7913406092545174,-0.10242662576531947,2.4667180303752994,0.11363636363636363,0.3939393939393939,0.6515151515151515,0.8787878787878788,3.477272727272727,3.0840024948120117,3.0681818181818183,31.0,9.05662727355957,6,6,12
selected_game_features,fm_regression,2.1685129331819937,2.7070910464098064,-0.03688299227924752,2.311415491540551,0.12121212121212122,0.4090909090909091,0.6515151515151515,0.8787878787878788,3.477272727272727,3.1655781269073486,3.1893939393939394,38.0,8.945761680603027,5,5,10
binned_game_features,fm_regression,2.1557128302978747,2.668460512196034,-0.007501234668528145,2.2405185596207886,0.11363636363636363,0.4318181818181818,0.6439393939393939,0.8787878787878788,3.477272727272727,3.2722208499908447,3.2045454545454546,22.0,8.488471031188965,11,0,11
