game_date,game_id,team_id,target_game_runs,n_offensive_innings,opponent_team_id,top_bottom,home_away,stadium_id,starting_pitcher_id,current_pitcher_id,team_avg_runs_7d,opponent_avg_runs_7d,opponent_avg_runs_allowed_7d,opponent_starter_era,pitcher_era_before_inning,game_date_dt,top_bottom_cat,team_avg_runs_7d_bin,opponent_avg_runs_7d_bin,opponent_avg_runs_allowed_7d_bin,opponent_starter_era_bin,pitcher_era_before_inning_bin
2025/9/10,cl2025091001,広島,3,9,巨人,0,Away,東京ドーム,P_0300,P_0300,1.3333333333333333,3.8333333333333335,4.5,7.4032,7.4032,2025-09-10,top,low,mid,high_allowed,very_high,very_high
2025/9/10,cl2025091001,巨人,4,8,広島,1,Home,東京ドーム,P_0139,P_0139,3.8333333333333335,1.3333333333333333,3.333333333333333,7.5937,7.5937,2025-09-10,bottom,mid,low,mid_allowed,very_high,very_high
2025/9/10,cl2025091002,中日,6,9,ヤクルト,0,Away,神宮,P_0174,P_0174,3.333333333333333,4.833333333333333,3.333333333333333,9.4829,9.4829,2025-09-10,top,mid,high,mid_allowed,very_high,very_high
2025/9/10,cl2025091002,ヤクルト,3,9,中日,1,Home,神宮,P_0229,P_0229,4.833333333333333,3.333333333333333,3.8333333333333335,7.1654,7.1654,2025-09-10,bottom,high,mid,mid_allowed,very_high,very_high
2025/9/10,cl2025091003,ＤｅＮＡ,6,9,阪神,0,Away,甲子園,P_0162,P_0162,2.833333333333333,3.5,2.5,6.0498,6.0498,2025-09-10,top,mid,mid,mid_allowed,very_high,very_high
2025/9/10,cl2025091003,阪神,1,9,ＤｅＮＡ,1,Home,甲子園,P_0011,P_0011,3.5,2.833333333333333,2.1666666666666665,7.1553,7.1553,2025-09-10,bottom,mid,mid,low_allowed,very_high,very_high
2025/9/11,cl2025091101,広島,3,9,巨人,0,Away,東京ドーム,P_0015,P_0015,1.5,3.6666666666666665,4.5,7.0914,7.0914,2025-09-11,top,low,mid,high_allowed,very_high,very_high
2025/9/11,cl2025091101,巨人,2,9,広島,1,Home,東京ドーム,P_0303,P_0303,3.6666666666666665,1.5,3.8333333333333335,5.9492,5.9492,2025-09-11,bottom,mid,low,mid_allowed,high,high
2025/9/11,cl2025091102,中日,5,9,ヤクルト,0,Away,神宮,P_0041,P_0041,3.5,4.833333333333333,3.5,8.2969,8.2969,2025-09-11,top,mid,high,mid_allowed,very_high,very_high
2025/9/11,cl2025091102,ヤクルト,6,8,中日,1,Home,神宮,P_0215,P_0215,4.833333333333333,3.5,4.0,7.3949,7.3949,2025-09-11,bottom,high,mid,high_allowed,very_high,very_high
2025/9/11,cl2025091103,ＤｅＮＡ,0,9,阪神,0,Away,甲子園,P_0220,P_0220,3.6666666666666665,3.333333333333333,2.6666666666666665,7.2735,7.2735,2025-09-11,top,mid,mid,mid_allowed,very_high,very_high
2025/9/11,cl2025091103,阪神,2,8,ＤｅＮＡ,1,Home,甲子園,P_0103,P_0103,3.333333333333333,3.6666666666666665,2.0,6.6122,6.6122,2025-09-11,bottom,mid,mid,low_allowed,very_high,very_high
2025/9/11,pl2025091104,オリックス,4,9,日本ハム,0,Away,エスコンフィールド,P_0150,P_0150,2.833333333333333,3.8,2.8,7.0252,7.0252,2025-09-11,top,mid,mid,mid_allowed,very_high,very_high
2025/9/11,pl2025091104,日本ハム,10,8,オリックス,1,Home,エスコンフィールド,P_0296,P_0296,3.8,2.833333333333333,3.0,9.4865,9.4865,2025-09-11,bottom,mid,mid,mid_allowed,very_high,very_high
2025/9/11,pl2025091105,ソフトバンク,1,9,ロッテ,0,Away,ＺＯＺＯマリン,P_0128,P_0128,5.4,2.6666666666666665,4.833333333333333,8.3481,8.3481,2025-09-11,top,high,mid,high_allowed,very_high,very_high
2025/9/11,pl2025091105,ロッテ,9,8,ソフトバンク,1,Home,ＺＯＺＯマリン,P_0085,P_0085,2.6666666666666665,5.4,2.4,6.4455,6.4455,2025-09-11,bottom,mid,high,low_allowed,very_high,very_high
2025/9/12,cl2025091201,ＤｅＮＡ,10,9,ヤクルト,0,Away,神宮,P_0168,P_0168,3.5,3.8333333333333335,4.166666666666667,7.3986,7.3986,2025-09-12,top,mid,mid,high_allowed,very_high,very_high
2025/9/12,cl2025091201,ヤクルト,2,9,ＤｅＮＡ,1,Home,神宮,P_0135,P_0135,3.8333333333333335,3.5,2.333333333333333,8.5175,8.5175,2025-09-12,bottom,mid,mid,low_allowed,very_high,very_high
2025/9/12,cl2025091202,中日,0,9,広島,0,Away,マツダスタジアム,P_0326,P_0062,3.5,2.0,4.0,8.1203,8.1203,2025-09-12,top,mid,low,high_allowed,very_high,very_high
2025/9/12,cl2025091202,広島,9,8,中日,1,Home,マツダスタジアム,P_0140,P_0140,2.0,3.5,3.8333333333333335,7.9412,7.9412,2025-09-12,bottom,low,mid,mid_allowed,very_high,very_high
2025/9/12,pl2025091203,西武,7,9,日本ハム,0,Away,エスコンフィールド,P_0226,P_0226,4.0,4.0,3.2,6.1875,6.1875,2025-09-12,top,high,high,mid_allowed,very_high,very_high
2025/9/12,pl2025091203,日本ハム,3,9,西武,1,Home,エスコンフィールド,P_0111,P_0111,4.0,4.0,3.25,7.9699,7.9699,2025-09-12,bottom,high,high,mid_allowed,very_high,very_high
2025/9/12,pl2025091204,ロッテ,3,9,楽天,0,Away,楽天モバイルパーク,P_0076,P_0076,3.8333333333333335,2.75,5.0,8.8806,8.8806,2025-09-12,top,mid,mid,high_allowed,very_high,very_high
2025/9/12,pl2025091204,楽天,6,8,ロッテ,1,Home,楽天モバイルパーク,P_0086,P_0086,2.75,3.8333333333333335,3.5,8.0888,8.0888,2025-09-12,bottom,mid,mid,mid_allowed,very_high,very_high
2025/9/13,cl2025091301,阪神,10,9,巨人,0,Away,東京ドーム,P_0049,P_0049,1.8,4.6,3.4,7.7749,7.7749,2025-09-13,top,low,high,mid_allowed,very_high,very_high
2025/9/13,cl2025091301,巨人,11,9,阪神,1,Home,東京ドーム,P_0111,P_0111,4.6,1.8,2.0,7.425,7.425,2025-09-13,bottom,high,low,low_allowed,very_high,very_high
2025/9/13,cl2025091302,ＤｅＮＡ,6,9,ヤクルト,0,Away,神宮,P_0138,P_0138,4.0,3.1666666666666665,4.666666666666667,8.5325,8.5325,2025-09-13,top,high,mid,high_allowed,very_high,very_high
2025/9/13,cl2025091302,ヤクルト,2,9,ＤｅＮＡ,1,Home,神宮,P_0320,P_0320,3.1666666666666665,4.0,1.6666666666666667,6.9429,6.9429,2025-09-13,bottom,mid,high,low_allowed,very_high,very_high
2025/9/13,cl2025091303,中日,0,9,広島,0,Away,マツダスタジアム,P_0324,P_0324,3.333333333333333,3.333333333333333,3.0,8.3077,8.3077,2025-09-13,top,mid,mid,mid_allowed,very_high,very_high
2025/9/13,cl2025091303,広島,5,8,中日,1,Home,マツダスタジアム,P_0012,P_0012,3.333333333333333,3.333333333333333,5.333333333333333,7.4737,7.4737,2025-09-13,bottom,mid,mid,high_allowed,very_high,very_high
2025/9/13,pl2025091304,西武,4,11,日本ハム,0,Away,エスコンフィールド,P_0066,P_0066,4.5,4.6,4.2,7.7489,7.7489,2025-09-13,top,high,high,high_allowed,very_high,very_high
2025/9/13,pl2025091304,日本ハム,5,11,西武,1,Home,エスコンフィールド,P_0065,P_0065,4.6,4.5,3.25,7.9573,7.9573,2025-09-13,bottom,high,high,mid_allowed,very_high,very_high
2025/9/13,pl2025091305,ロッテ,6,9,楽天,0,Away,楽天モバイルパーク,P_0045,P_0231,3.8333333333333335,4.25,3.0,7.2636,7.2636,2025-09-13,top,mid,high,mid_allowed,very_high,very_high
2025/9/13,pl2025091305,楽天,4,9,ロッテ,1,Home,楽天モバイルパーク,P_0237,P_0237,4.25,3.8333333333333335,3.6666666666666665,8.0731,8.0731,2025-09-13,bottom,high,mid,mid_allowed,very_high,very_high
2025/9/13,pl2025091306,ソフトバンク,2,9,オリックス,0,Away,京セラドーム大阪,P_0075,P_0075,2.25,3.8,4.0,8.1586,8.1586,2025-09-13,top,low,mid,high_allowed,very_high,very_high
2025/9/13,pl2025091306,オリックス,1,9,ソフトバンク,1,Home,京セラドーム大阪,P_0127,P_0127,3.8,2.25,5.25,7.3033,7.3033,2025-09-13,bottom,mid,low,high_allowed,very_high,very_high
2025/9/14,cl2025091401,巨人,7,9,ＤｅＮＡ,0,Away,横浜,P_0322,P_0322,5.8,4.666666666666667,1.5,6.9324,6.9324,2025-09-14,top,very_high,high,low_allowed,very_high,very_high
2025/9/14,cl2025091401,ＤｅＮＡ,9,8,巨人,1,Home,横浜,P_0040,P_0040,4.666666666666667,5.8,4.6,6.885,6.885,2025-09-14,bottom,high,very_high,high_allowed,very_high,very_high
2025/9/14,cl2025091402,中日,1,9,阪神,0,Away,甲子園,P_0134,P_0134,2.6666666666666665,3.0,4.0,7.0318,7.0318,2025-09-14,top,mid,mid,high_allowed,very_high,very_high
2025/9/14,cl2025091402,阪神,0,9,中日,1,Home,甲子園,P_0158,P_0158,3.0,2.6666666666666665,5.333333333333333,7.0244,7.0244,2025-09-14,bottom,mid,mid,high_allowed,very_high,very_high
2025/9/14,cl2025091403,ヤクルト,8,9,広島,0,Away,マツダスタジアム,P_0262,P_0262,3.0,4.0,2.333333333333333,10.8,10.8,2025-09-14,top,mid,high,low_allowed,very_high,very_high
2025/9/14,cl2025091403,広島,6,9,ヤクルト,1,Home,マツダスタジアム,P_0241,P_0241,4.0,3.0,5.333333333333333,8.2394,8.2394,2025-09-14,bottom,high,mid,high_allowed,very_high,very_high
2025/9/14,pl2025091404,西武,3,9,日本ハム,0,Away,エスコンフィールド,P_0290,P_0290,4.5,5.4,4.4,8.3077,8.3077,2025-09-14,top,high,high,high_allowed,very_high,very_high
2025/9/14,pl2025091404,日本ハム,4,8,西武,1,Home,エスコンフィールド,P_0176,P_0176,5.4,4.5,4.5,7.2749,7.2749,2025-09-14,bottom,high,high,high_allowed,very_high,very_high
2025/9/14,pl2025091405,ロッテ,1,9,楽天,0,Away,楽天モバイルパーク,P_0183,P_0183,4.833333333333333,5.0,4.0,8.6105,8.6105,2025-09-14,top,high,high,high_allowed,very_high,very_high
2025/9/14,pl2025091405,楽天,5,8,ロッテ,1,Home,楽天モバイルパーク,P_0034,P_0034,5.0,4.833333333333333,3.6666666666666665,8.4737,8.4737,2025-09-14,bottom,high,high,mid_allowed,very_high,very_high
2025/9/14,pl2025091406,ソフトバンク,4,9,オリックス,0,Away,京セラドーム大阪,P_0154,P_0154,2.25,3.4,4.2,8.2792,8.2792,2025-09-14,top,low,mid,high_allowed,very_high,very_high
2025/9/14,pl2025091406,オリックス,3,9,ソフトバンク,1,Home,京セラドーム大阪,P_0033,P_0033,3.4,2.25,5.25,8.2876,8.2876,2025-09-14,bottom,mid,low,high_allowed,very_high,very_high
2025/9/15,cl2025091501,巨人,0,9,ＤｅＮＡ,0,Away,横浜,P_0161,P_0161,6.0,5.666666666666667,2.333333333333333,6.6761,6.6761,2025-09-15,top,very_high,very_high,low_allowed,very_high,very_high
2025/9/15,cl2025091501,ＤｅＮＡ,3,8,巨人,1,Home,横浜,P_0159,P_0159,5.666666666666667,6.0,5.8,10.4453,10.4453,2025-09-15,bottom,very_high,very_high,very_high_allowed,very_high,very_high
2025/9/15,cl2025091502,中日,2,9,阪神,0,Away,甲子園,P_0248,P_0248,2.333333333333333,2.6,4.2,8.25,8.25,2025-09-15,top,low,mid,high_allowed,very_high,very_high
2025/9/15,cl2025091502,阪神,6,8,中日,1,Home,甲子園,P_0051,P_0051,2.6,2.333333333333333,4.333333333333333,8.2317,8.2317,2025-09-15,bottom,mid,low,high_allowed,very_high,very_high
2025/9/15,cl2025091503,ヤクルト,2,9,広島,0,Away,マツダスタジアム,P_0156,P_0156,4.0,5.0,3.333333333333333,7.9724,7.9724,2025-09-15,top,high,high,mid_allowed,very_high,very_high
2025/9/15,cl2025091503,広島,6,8,ヤクルト,1,Home,マツダスタジアム,P_0335,P_0335,5.0,4.0,5.833333333333333,,,2025-09-15,bottom,high,high,very_high_allowed,unknown,unknown
2025/9/15,pl2025091504,西武,5,9,日本ハム,0,Away,エスコンフィールド,P_0286,P_0297,4.75,5.8,4.4,9.375,9.375,2025-09-15,top,high,very_high,high_allowed,very_high,very_high
2025/9/15,pl2025091504,日本ハム,12,8,西武,1,Home,エスコンフィールド,P_0221,P_0221,5.8,4.75,4.5,7.0629,7.0629,2025-09-15,bottom,very_high,high,high_allowed,very_high,very_high
2025/9/15,pl2025091505,ロッテ,4,12,楽天,0,Away,楽天モバイルパーク,P_0242,P_0242,4.333333333333333,5.25,3.75,7.2766,7.2766,2025-09-15,top,high,high,mid_allowed,very_high,very_high
2025/9/15,pl2025091505,楽天,5,12,ロッテ,1,Home,楽天モバイルパーク,P_0317,P_0317,5.25,4.333333333333333,4.166666666666667,9.45,9.45,2025-09-15,bottom,high,high,high_allowed,very_high,very_high
2025/9/15,pl2025091506,ソフトバンク,5,9,オリックス,0,Away,京セラドーム大阪,P_0167,P_0167,2.75,3.4,4.6,8.5097,8.5097,2025-09-15,top,mid,mid,high_allowed,very_high,very_high
2025/9/15,pl2025091506,オリックス,0,9,ソフトバンク,1,Home,京セラドーム大阪,P_0191,P_0191,3.4,2.75,5.0,8.505,8.505,2025-09-15,bottom,mid,mid,high_allowed,very_high,very_high
2025/9/16,pl2025091601,ロッテ,3,9,オリックス,0,Away,京セラドーム大阪,P_0194,P_0194,4.333333333333333,3.0,4.8,8.0587,8.0587,2025-09-16,top,high,mid,high_allowed,very_high,very_high
2025/9/16,pl2025091601,オリックス,7,8,ロッテ,1,Home,京セラドーム大阪,P_0265,P_0129,3.0,4.333333333333333,4.666666666666667,7.8,7.8,2025-09-16,bottom,mid,high,high_allowed,very_high,very_high
2025/9/17,cl2025091701,巨人,4,9,ヤクルト,0,Away,神宮,P_0002,P_0002,4.8,3.8333333333333335,6.5,9.1151,9.1151,2025-09-17,top,high,mid,very_high_allowed,very_high,very_high
2025/9/17,cl2025091701,ヤクルト,2,9,巨人,1,Home,神宮,P_0001,P_0001,3.8333333333333335,4.8,5.6,9.3719,9.3719,2025-09-17,bottom,mid,high,very_high_allowed,very_high,very_high
2025/9/17,cl2025091702,ＤｅＮＡ,1,9,中日,0,Away,バンテリンドーム,P_0229,P_0229,5.666666666666667,2.333333333333333,4.833333333333333,7.0601,7.0601,2025-09-17,top,very_high,low,high_allowed,very_high,very_high
2025/9/17,cl2025091702,中日,0,9,ＤｅＮＡ,1,Home,バンテリンドーム,P_0011,P_0011,2.333333333333333,5.666666666666667,2.333333333333333,7.2036,7.2036,2025-09-17,bottom,low,very_high,low_allowed,very_high,very_high
2025/9/17,cl2025091703,阪神,6,9,広島,0,Away,マツダスタジアム,P_0057,P_0057,3.8,5.333333333333333,2.6666666666666665,7.0415,7.0415,2025-09-17,top,mid,high,mid_allowed,very_high,very_high
2025/9/17,cl2025091703,広島,1,9,阪神,1,Home,マツダスタジアム,P_0019,P_0019,5.333333333333333,3.8,4.0,6.5579,6.5579,2025-09-17,bottom,high,mid,high_allowed,very_high,very_high
2025/9/17,pl2025091704,日本ハム,2,11,楽天,0,Away,楽天モバイルパーク,P_0084,P_0084,6.8,5.0,3.5,8.4787,8.4787,2025-09-17,top,very_high,high,mid_allowed,very_high,very_high
2025/9/17,pl2025091704,楽天,3,11,日本ハム,1,Home,楽天モバイルパーク,P_0271,P_0136,5.0,6.8,4.6,7.4859,7.4859,2025-09-17,bottom,high,very_high,high_allowed,very_high,very_high
2025/9/17,pl2025091705,ロッテ,2,9,オリックス,0,Away,京セラドーム大阪,P_0026,P_0026,4.333333333333333,3.0,4.8,7.6091,7.6091,2025-09-17,top,high,mid,high_allowed,very_high,very_high
