variant,n_categorical_features,n_numeric_features,n_total_features,categorical_features,numeric_features
base_24_features,7,17,24,"[""team_id"", ""opponent_team_id"", ""home_away"", ""stadium_id"", ""starting_pitcher_id"", ""current_pitcher_id"", ""batting_order_start_group""]","[""inning"", ""top_bottom"", ""is_late_inning"", ""batting_order_start"", ""is_top_order_start"", ""is_cleanup_start"", ""pitcher_is_starter"", ""pitcher_times_through_order"", ""pitcher_era_before_inning"", ""opponent_starter_era"", ""team_avg_runs_7d"", ""opponent_avg_runs_7d"", ""opponent_avg_runs_allowed_7d"", ""team_run_scored_inning_rate_7d"", ""opponent_run_allowed_inning_rate_7d"", ""team_recent_2plus_inning_rate_7d"", ""opponent_recent_2plus_allowed_rate_7d""]"
score_context_28_features,8,20,28,"[""team_id"", ""opponent_team_id"", ""home_away"", ""stadium_id"", ""starting_pitcher_id"", ""current_pitcher_id"", ""batting_order_start_group"", ""score_state_before_inning""]","[""inning"", ""top_bottom"", ""is_late_inning"", ""batting_order_start"", ""is_top_order_start"", ""is_cleanup_start"", ""pitcher_is_starter"", ""pitcher_times_through_order"", ""pitcher_era_before_inning"", ""opponent_starter_era"", ""team_avg_runs_7d"", ""opponent_avg_runs_7d"", ""opponent_avg_runs_allowed_7d"", ""team_run_scored_inning_rate_7d"", ""opponent_run_allowed_inning_rate_7d"", ""team_recent_2plus_inning_rate_7d"", ""opponent_recent_2plus_allowed_rate_7d"", ""score_diff_before_inning"", ""is_close_game"", ""is_blowout""]"
