variant,model,mae,rmse,r2,poisson_deviance,exact_run_accuracy,within_1_run_accuracy,zero_vs_nonzero_accuracy_after_rounding,true_mean_runs,pred_mean_runs,best_epoch,best_valid_mse,n_categorical_features,n_numeric_features,n_total_features
all_29_features,fm_regression,0.5740516245669767,0.8986994140453816,0.003521334140991983,1.6609111338082154,0.590289608177172,0.9267461669505963,0.6396933560477002,0.3909710391822828,0.3589076101779938,9.0,0.978173212593339,7,22,29
selected_19_features,fm_regression,0.5634390108661768,0.9048681521022192,-0.010205419330135301,1.879343859561414,0.6277683134582623,0.9216354344122658,0.6703577512776832,0.3909710391822828,0.3429930508136749,5.0,0.9884672654042123,7,12,19
binned_features,fm_regression,0.5929955164354542,0.8873971649191178,0.028427616225616403,1.2438720396146552,0.6294718909710392,0.9156729131175468,0.6686541737649063,0.3909710391822828,0.3923967182636261,2.0,0.9553702776052228,26,0,26
