epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,2.044593049251246,0.2535442894408529,1.6328846224819773,0.4108125098224108,0.15147823092307203,0.13257721542907902,0.1225404038466885,0.350298417542012,0.6454502593116455,0.7873644507307873
2,1.5279097764200265,0.467770594684511,1.4822933856897265,0.47901933050447904,0.1303599481161778,0.12730284992864305,0.09561973300718152,0.3414100848948607,0.6900832940436901,0.8407983655508408
3,1.4250084636143883,0.5020226078409133,1.4439812785665251,0.48876316203048875,0.16030725259021078,0.1267487106254253,0.08973168051260737,0.3345261712018847,0.7007700770077008,0.8477133427628477
4,1.391443931129379,0.5064080753090621,1.4286303393368298,0.49143485777149143,0.226901062684961,0.1261978278146004,0.0865667343437416,0.33029826901196213,0.7064277856357064,0.8511708313688512
5,1.3743832433414362,0.5081093342406714,1.4207578649240602,0.49253496778249256,0.11469644026029033,0.12680092942174492,0.08774981277004634,0.33267220775702766,0.7084708470847084,0.8517994656608519
6,1.3636520900355318,0.5090733809685835,1.4167493164361358,0.49206349206349204,0.1094893966170159,0.12655826131946193,0.08737438029816165,0.33213120518745426,0.7108282256797108,0.8516423070878516
7,1.3562771654062327,0.5092057011077086,1.414857771380525,0.49206349206349204,0.10649860270841187,0.1261279842641534,0.08612634243554645,0.33032659213239945,0.7097281156687097,0.8511708313688512
8,1.3505645804871935,0.509621564402102,1.413536211295115,0.49300644350149303,0.10892682511057877,0.12642891601644432,0.08642695084459218,0.3310461741842068,0.71004243281471,0.8500707213578501
9,1.3458318091724182,0.5106234168840498,1.4132812406288722,0.49363507779349364,0.11637209203400342,0.127264708075808,0.0884541291735598,0.33412176383342784,0.7122426528367123,0.8502278799308502
10,1.3417719143657691,0.5108313485312465,1.4125989779874475,0.49284928492849284,0.1124065143218749,0.12712662322528923,0.08853674083325344,0.3340786471753158,0.7103567499607104,0.8500707213578501
11,1.3382802979580455,0.5111905031945863,1.4125322197174175,0.4933207606474933,0.1718117164170082,0.12720154400719177,0.08848873772804268,0.33418539462697755,0.7114568599717115,0.8499135627848499
12,1.335108935605384,0.5120789384144266,1.4124291510434341,0.49394939493949397,0.14941057666009805,0.12803733606655543,0.09045027954130506,0.3370753008784327,0.7106710671067107,0.8486562942008486
13,1.3321178166123853,0.5119466182753015,1.4120333580106716,0.4937922363664938,0.1546335901830891,0.12781302101402492,0.08993518522349044,0.33642470803052654,0.7117711771177118,0.8499135627848499
14,1.32962137151317,0.5124948017088201,1.4127674468673102,0.4926921263554927,0.1264170498885173,0.12796392386754543,0.0909797003477998,0.33772023846543403,0.7123998114097124,0.8486562942008486
15,1.3271033176920246,0.5129295678802314,1.413275260455425,0.49300644350149303,0.12486402611363528,0.12785934061578122,0.0905413821282229,0.3372121730454294,0.7106710671067107,0.8488134527738488
16,1.3247508123364369,0.5131185966504102,1.414487221659532,0.49284928492849284,0.1534583665868582,0.12757355741249235,0.08978233637032214,0.3358485862720663,0.7112997013987113,0.8486562942008486
17,1.3224597191216612,0.5129295678802314,1.4141975232458106,0.49316360207449317,0.1325016597903922,0.127960719366795,0.09071383401861412,0.33745837380553,0.7101995913877102,0.847084708470847
18,1.32070404084967,0.5134966541907678,1.4143015727220458,0.49300644350149303,0.12638744006261557,0.1286584265756399,0.09266640075607246,0.3403082643092765,0.7116140185447116,0.848027659908848
19,1.318781542163288,0.5139125174851612,1.4154090913009403,0.49143485777149143,0.12058310585380648,0.1284437250253607,0.0928998914247756,0.3403023087659604,0.7116140185447116,0.8486562942008486
20,1.3168270067025536,0.5140637405013043,1.416291821458215,0.49284928492849284,0.13052600634702,0.12812677076931758,0.09133453042781413,0.3383535193670404,0.7105139085337105,0.847084708470847
21,1.3150804702160575,0.5140637405013043,1.416549717276497,0.4919063334904919,0.12536358861481245,0.12831758422309353,0.09232287166721248,0.339476636211976,0.7111425428257111,0.847084708470847
