,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,3,0,0,0,0,2,0,806
DOUBLE,1,0,0,0,0,0,0,180
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,3,0,84
BB,4,0,0,0,0,3,0,337
SO,1,0,0,0,0,31,0,953
HBP,0,0,0,0,0,0,0,53
OUT,2,0,0,0,0,13,0,2416
