,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,2,0,0,0,0,9,0,800
DOUBLE,0,0,0,0,0,1,0,180
TRIPLE,0,0,0,0,0,1,0,20
HR,0,0,0,0,0,4,0,83
BB,0,0,0,0,0,1,0,343
SO,1,0,0,0,0,31,0,953
HBP,0,0,0,0,0,0,0,53
OUT,2,0,0,0,0,25,0,2404
