game_date,batter_id,batter_name,pitcher_id,pitcher_name,stadium_id,Home_Away_id,bat_order,inning,top_bottom,out_count,runner1,runner2,runner3,score_diff,batter_hand,pitcher_hand,batter_avg,batter_ops,batter_obp,batter_slg,batter_iso,batter_vs_rhp_avg,batter_vs_rhp_ops,batter_vs_lhp_avg,batter_vs_lhp_ops,pitcher_era,pitcher_k9,pitcher_whip,pitcher_ops,vs_ops,previous_result1,previous_result2,previous_result3,previous_result4,previous_result5,label
2025/3/28,B_0001,西川　遙輝,P_0001,戸郷　翔征,東京ドーム,Away,1,5,0,0,0,0,0,0,左,右,0,0,0,0,0,0,0,,,0,2.25,0,0,0,二ゴ,一ゴ,,,,右安
2025/3/28,B_0002,岩田　幸宏,P_0001,戸郷　翔征,東京ドーム,Away,2,5,0,0,1,0,0,0,左,右,0,0,0,0,0,0,0,,,2.0769,2.0769,0.2308,0.1538,0,三ゴ,二ゴ,,,,三ゴ
2025/3/28,B_0003,長岡　秀樹,P_0001,戸郷　翔征,東京ドーム,Away,3,5,0,1,1,0,0,0,左,右,0,0,0,0,0,0,0,,,1.9286,1.9286,0.2143,0.1429,0,二ゴ,左飛,,,,三振
2025/3/28,B_0009,D.サンタナ,P_0001,戸郷　翔征,東京ドーム,Away,4,5,0,2,1,0,0,0,右,右,0,0,0,0,0,0,0,,,1.8,3.6,0.2,0.1333,0,三振,,,,,左安
2025/3/28,B_0010,J.オスナ,P_0001,戸郷　翔征,東京ドーム,Away,5,5,0,2,1,1,0,0,右,右,0,0,0,0,0,0,0,,,3.375,3.375,0.375,0.25,0,二ゴ,,,,,一失
2025/3/28,B_0011,赤羽　由紘,P_0001,戸郷　翔征,東京ドーム,Away,6,5,0,0,0,0,0,0,右,右,0,0,0,0,0,0,0,,,3.1765,3.1765,0.3529,0.2353,0,遊飛,,,,,左安
2025/3/28,B_0016,茂木　栄五郎,P_0001,戸郷　翔征,東京ドーム,Away,7,5,0,0,1,0,0,0,左,右,0,0,0,0,0,0,0,,,4.5,3,0.5,0.3333,0,中飛,,,,,四球
2025/3/28,B_0017,中村　悠平,P_0001,戸郷　翔征,東京ドーム,Away,8,5,0,0,1,1,0,0,右,右,0,0,0,0,0,0,0,,,5.6842,2.8421,0.6316,0.3772,0,右飛,,,,,中安
2025/3/28,B_0018,奥川　恭伸,P_0001,戸郷　翔征,東京ドーム,Away,9,5,0,0,1,1,1,0,右,右,0,0,0,0,0,0,0,,,6.75,2.7,0.75,0.4605,0,二邪,,,,,一ギ
2025/3/28,B_0004,若林　楽人,P_0002,奥川　恭伸,東京ドーム,Home,1,5,1,0,0,0,0,0,右,右,0.5,1,0.5,0.5,0,0.5,1,,,7.9412,1.5882,0.8824,0.6471,1,右飛,中安,,,,三振
