,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,0,0,0,0,0,2,0,809
DOUBLE,0,0,0,0,0,0,0,181
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,1,0,86
BB,0,0,0,0,0,0,0,344
SO,0,0,0,0,0,18,0,967
HBP,0,0,0,0,0,0,0,53
OUT,0,0,0,0,0,16,0,2415
