,SINGLE,DOUBLE,TRIPLE,HR,BB,SO,HBP,OUT
SINGLE,0,0,0,0,0,0,0,811
DOUBLE,0,0,0,0,0,0,0,181
TRIPLE,0,0,0,0,0,0,0,21
HR,0,0,0,0,0,0,0,87
BB,0,0,0,0,0,0,0,344
SO,0,0,0,0,0,10,0,975
HBP,0,0,0,0,0,0,0,53
OUT,0,0,0,0,0,4,0,2427
