epoch,train_loss,train_accuracy,valid_loss,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_top2_accuracy,valid_top3_accuracy
1,2.0761688817881856,0.24779781482741672,1.6988069753910635,0.4018544711614018,0.12403882387685203,0.12447225285107642,0.11472276430905248,0.34394747862603764,0.6322489391796322,0.7581329561527581
2,1.56276280190164,0.46442478545234583,1.5165809528381404,0.4757190004714757,0.10599100220672954,0.1241211547344428,0.09036996550798597,0.3326692472125302,0.6715385824296716,0.8291686311488292
3,1.4427885863421424,0.5023439567502174,1.4653738357352701,0.49064906490649063,0.1268488645534297,0.1253884832022299,0.0847505855004005,0.32764436140216174,0.6822253653936822,0.8426842684268426
4,1.40138311558899,0.5074666364220635,1.4430968334478869,0.49206349206349204,0.11269970170230464,0.12551330275656983,0.08420228914349992,0.32728837079884954,0.6916548797736917,0.8475561841898476
5,1.3807804192276625,0.508336168764886,1.4313020267221288,0.49253496778249256,0.11991754634735571,0.12551009825581938,0.08387402331334312,0.3269282796674117,0.6991984912776992,0.8499135627848499
6,1.3682740771483395,0.5092435068617444,1.4243252897120189,0.49253496778249256,0.11422521072542643,0.12557156640657774,0.084068951054421,0.3272298077970366,0.705013358478705,0.8508565142228508
7,1.359947476403789,0.5094325356319231,1.4209602499615186,0.49253496778249256,0.11516477451907915,0.1256330345573361,0.08425678740001595,0.32749955868129155,0.7076850542197077,0.8517994656608519
8,1.353657992416769,0.5099240104343881,1.4177250167811308,0.49222065063649223,0.11021218587008061,0.12586055411061703,0.08516636562874189,0.3287800955483103,0.7083136885117083,0.8517994656608519
9,1.348558046701414,0.5106801255151034,1.4165443260302881,0.49206349206349204,0.11092313293114209,0.12588211166111998,0.08532327824139525,0.32893872160619325,0.7084708470847084,0.8513279899418513
10,1.344381130844482,0.5110203773014252,1.4158894253024399,0.49206349206349204,0.10812159626140713,0.12594357981187831,0.08552476661488438,0.32929195785810655,0.7076850542197077,0.8517994656608519
11,1.3407671455579653,0.5113417262107293,1.414954680739269,0.49159201634449157,0.10585040577988916,0.1258853161618704,0.08564544361752947,0.329330414109126,0.7076850542197077,0.8513279899418513
12,1.337545368379467,0.5118142981361763,1.4146559027105725,0.49174917491749176,0.10706282066063297,0.1261096312144009,0.08621779266238551,0.3302369727595833,0.7086280056577087,0.851013672795851
13,1.3346855729330482,0.5119655211523194,1.4147144740208242,0.49159201634449157,0.10393548801569874,0.12625412506642056,0.0867629465041742,0.33109989816447893,0.7084708470847084,0.8514851485148515
14,1.3321659612067953,0.5120222297833731,1.415145127143422,0.4919063334904919,0.1061486728138605,0.1262110099654147,0.08644290575405127,0.33069012233711986,0.7090994813767091,0.851013672795851
15,1.3296474108718157,0.5122679671846055,1.4152738811758803,0.49222065063649223,0.10700525313380177,0.12653670376895898,0.08721410032311033,0.33196766154561475,0.7097281156687097,0.8508565142228508
16,1.3274992392430986,0.5124758988318022,1.415622108521822,0.49253496778249256,0.10884180632099877,0.12704680202477836,0.08849964967018675,0.333998865164325,0.7084708470847084,0.8506993556498507
17,1.3253607038586115,0.5131564024044459,1.4163299667634774,0.49237780920949237,0.10813084011694565,0.1270683595752813,0.0886522843145898,0.3341922492184951,0.7095709570957096,0.8503850385038504
18,1.323374283038386,0.5127405391100526,1.4168841922768403,0.4919063334904919,0.10586079556105425,0.12676422332223994,0.08806714074097013,0.3332014950500744,0.7090994813767091,0.8502278799308502
19,1.3215691258400664,0.5129106650032135,1.4171182489350178,0.49222065063649223,0.10836952230556653,0.12733578972881768,0.08949097174857307,0.33540435690141557,0.7095709570957096,0.8492849284928493
20,1.3197748904408302,0.5129673736342671,1.4172515025326953,0.49300644350149303,0.11069918568813655,0.1281500242376784,0.09128444223604362,0.3383279124297034,0.71004243281471,0.8494420870658494
